FID,OBJECTID,MAPLABELNA,LEGENDTYPE,PUBLICVIEW,LOCID,stfacid,progid,facName,LocAddress,CityName,State,locZip,countyName,FO,locSupplem,opStatus,OperatType,BasinInspe,AnimalUnit,Horses,TownshipNa,Tier,Range,rangeDir,Sectn,Latitude,Longitude,X_Coord,Y_Coord,Accuracy,colMthTxt,refPntTxt,VerifyTxt,collectBy,ColDate,locComment,Congress,StHouse,StSenate,HUC,Hyperlink,uniqueID,Swine,CattleDair,CattleBeef,Chickens,Turkeys,SheepLGoat,Other,ConsPermit,NPDESPermi,MMP,PindexMMP,NMP
10182,1449289,David Klaes South,26,1,20000368443.0,312474563,68482,David Klaes South,RAMPART AVE.,Osage,IA,50461,Mitchell,2, ,Active,Confinement/Open Feedlot,No,1399.0,0,Burr Oak,98,16,W,26,43.28031,-92.69378,524846,4791988,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,zachery.,1494497615000.0,moved to middle of building,1,51,26,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=68482,10584,0,0,1399,0,0,0,0,N,N, , ,Y
10254,1449951,Woodford Creek Farms - 81,31,1,20000369287.0,312486398,60816,Woodford Creek Farms - 81,24589 260TH ST,Leon,IA,0,Decatur,5, ,Active,Confinement,Yes,1393.6,0,Eden,68,25,W,28,40.66019,-93.73593,437790,4501297,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,5,95,48,102801020703.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60816,10657,1393,0,0,0,0,0,0,Y,N,Y,N,N
11151,1453396,White Doug - Rice,31,1,20000374096.0,312547676,68825,White Doug - Rice,6432 120th Avenue,Storm Lake,IA,50588,Buena Vista,3, ,Active,Confinement,No,1360.0,0,Hayes,90,37,W,25,42.5801,-95.16845,322051,4716467,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,5,52,26,102300070201.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=68825,10952,1360,0,0,0,0,0,0,N,N,N,N,N
11326,1457134,Andy Rahe,26,1,20000378834.0,312611995,69239,Andy Rahe,GOLF COURSE ROAD,Dyersville,IA,52040,Dubuque,1, ,Active,Confinement/Open Feedlot,No,1345.0,0,New Wine,89,2,W,27,42.50077,-91.0748,658187,4707175,0,INTERPOLATION-PHOTO, , , ,0.0, , ,0,0,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=69239,11370,1200,0,145,0,0,0,0,Y,N,N,Y,N
11354,1457244,Hilltop,31,1,20000378950.0,312613739,69250,Hilltop,21179 CLEAR CREEK ROAD,New Vienna,IA,52065,Dubuque,1, ,Active,Confinement,No,1320.0,0,Liberty,90,2,W,15,42.6055,-91.05111,659866,4718849,0,INTERPOLATION-PHOTO, , , ,0.0, , ,0,0,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=69250,11381,1320,0,0,0,0,0,0,Y,N,N,Y,N
11428,1457363,Holdsworth Partnership #1,31,1,20000379115.0,312615619,62077,Holdsworth Partnership #1,3176 East Boyer Avenue,Denison,IA,51442,Crawford,4, ,Active,Confinement,No,1320.0,0,East Boyer,83,38,W,22,41.98833,-95.2523,313431,4650935,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL), ,keith.ze,1513858731000.0, ,4,12,6,102300070103.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=62077,11401,1320,0,0,0,0,0,0,N,N,Y,N,N
11965,1447315,Hovick Farms Inc #2,31,1,20000364622.0,312416629,60843,Hovick Farms Inc #2,3136 360th St,Story City,IA,50248,Hamilton,2, ,Active,Confinement,Yes,1320.0,0,Scott,86,23,W,17,42.2667,-93.55307,454388,4679537,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,4,10,5,70801050402.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60843,10374,1320,0,0,0,0,0,0,Y,N,N,Y,N
12000,1447702,Dan Muller 5,31,1,20000365438.0,310746633,60185,Dan Muller 5,605 Highway 18,Algona,IA,50511,Kossuth,2, ,Inactive,Confinement,Yes,1320.0,0,Lotts Creek,96,30,W,36,43.08434,-94.33905,391006,4771050,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,4,7,4,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60185,10402,1320,0,0,0,0,0,0,Y,N,N,Y,N
12234,1465973,Evan Beshey,31,1,20000402046.0,316031831,70929,Evan Beshey,14560 Oak Ave,Garner,IA,50438,Hancock,2, ,Active,Confinement,No,1359.6,0,Liberty,95,24,W,8,43.06163,-93.69501,443407,4767893,0,INTERPOLATION-PHOTO, , , ,0.0, , ,0,0,70802070203.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=70929,13033,1359,0,0,0,0,0,0,Y,N,N,Y,N
12412,1460652,Holdsworth Partnership #2,31,1,20000387511.0,310735194,62078,Holdsworth Partnership #2,2528 310th St,Denison,IA,0,Crawford,4, ,Active,Confinement,No,1320.0,0,East Boyer,83,38,W,22,41.99056,-95.26526,312364,4651211,20, ,PLANT ENTRANCE (GENERAL), ,keith.ze,1513851512000.0, ,4,12,6,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=62078,12005,1320,0,0,0,0,0,0,N,N,N,Y,N
12909,1466616,Nick Sander,31,1,20000403713.0,316267299,71146,Nick Sander,1969 110th Street,Clarence,IA,52216,Cedar,6, ,Active,Confinement,No,1320.0,0,Massillon,82,1,W,5,41.93229,-90.98224,667287,4644228,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,paul.pet,1560520437000.0, ,2,73,37,70801030202.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=71146,13251,1320,0,0,0,0,0,0,Y,N,N,Y,N
