FID,OBJECTID,MAPLABELNA,LEGENDTYPE,PUBLICVIEW,LOCID,stfacid,progid,facName,LocAddress,CityName,State,locZip,countyName,FO,locSupplem,opStatus,OperatType,BasinInspe,AnimalUnit,Horses,TownshipNa,Tier,Range,rangeDir,Sectn,Latitude,Longitude,X_Coord,Y_Coord,Accuracy,colMthTxt,refPntTxt,VerifyTxt,collectBy,ColDate,locComment,Congress,StHouse,StSenate,HUC,Hyperlink,uniqueID,Swine,CattleDair,CattleBeef,Chickens,Turkeys,SheepLGoat,Other,ConsPermit,NPDESPermi,MMP,PindexMMP,NMP
16,1356673,Herbold Farms Inc.,31,1,20000208879.0,310681695,63120,Herbold Farms Inc.,8097 NORTH 59TH AVENUE NORTH,Mingo,IA,50168,Jasper,5, ,Inactive,Confinement,Yes,0.0,0,Sherman,80,20,W,9,41.76057,-93.18516,484608,4623209,570,PUBLIC LAND SURVEY-QUARTER SECTION,PLANT ENTRANCE (GENERAL), ,bryan.bu,1523022763000.0, ,2,29,15,70801050805.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=63120,1622,0,0,0,0,0,0,0,N,N, , , 
30,1356687,Sanford Owens,31,1,20000208894.0,310678094,63532,Sanford Owens,2705 290th St,Oskaloosa,IA,52577,Mahaska,5, ,Active,Confinement,No,0.0,0,Harrison,74,15,W,1,41.2344,-92.54345,538261,4564879,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,3,72,36,70801070101.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=63532,1636,0,0,0,0,0,0,0,N,N, , , 
42,1356699,Delbert Westphalen,7,1,20000208907.0,310678816,64167,Delbert Westphalen,64000 Boston Rd,Atlantic,IA,50022,Cass,4, ,Active,Confinement,No,0.0,0,Pymosa,77,36,W,2,41.49429,-94.96437,336030,4595493,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,5,57,29,102400030106.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64167,1648,0,0,0,0,0,0,0,N,N, , , 
50,1356707,Home Sow Farm,31,1,20000208916.0,310682125,59268,Home Sow Farm,500th Street SE,Iowa City,IA,52240,Johnson,6, ,Inactive,Confinement,No,0.0,0,Pleasant Valley,78,6,W,13,41.56532,-91.48748,626114,4602621,570,PUBLIC LAND SURVEY-QUARTER SECTION, , ,bbunke,1218153600000.0, ,2,89,45,70802090604.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=59268,1656,0,0,0,0,0,0,0,N,N,Y,N,N
88,1356745,Howard Hill,31,1,20000208958.0,310694472,63131,Howard Hill,59210 300th Street,Cambridge,IA,50046,Story,5, ,Active,Confinement,No,0.0,0,Union,82,23,W,10,41.92336,-93.518,457049,4641397,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,zachery.,1497613307000.0,moved to middle of feedlot,4,49,25,70801050903.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=63131,1694,0,0,0,0,0,0,0,N,N, , , 
98,1356755,Iowa Select - Long Sow Site (not Built),31,1,20000208968.0,310679155,60882,Iowa Select - Long Sow Site (not Built), ,Iowa Falls,IA,50126,Hamilton,2, ,Inactive,Confinement,No,0.0,0,Hamilton,87,25,W,31,42.30874,-93.81315,432983,4684376,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION, , ,bbunke,1218153600000.0, ,4,9,5,70801050302.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60882,1704,0,0,0,0,0,0,0,Y,N,Y,N,N
99,1356756,Darlene Gustafson,31,1,20000208970.0,310679191,62753,Darlene Gustafson, , ,XX,0,Mills,4, ,Inactive,Confinement,Yes,0.0,0,Indian Creek,72,41,W,3,41.06304,-95.5423,286383,4548870,570,PUBLIC LAND SURVEY-QUARTER SECTION, , ,bbunke,1218153600000.0, ,5,97,49,102400020607.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=62753,1705,0,0,0,0,0,0,0,N,N, , , 
103,1356760,Perry Eason,32,1,20000208974.0,310679333,62452,Perry Eason,406 195th St,Scranton,IA,51462,Greene,4, ,Active,Open Feedlot,No,0.0,0, ,0,0, ,0,42.07096,-94.57056,370073,4658848,100,ADDRESS MATCHING-DIGITIZED, , ,ggeorg,1218672000000.0, ,4,50,25,71000061303.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=62452,1709,0,0,0,0,0,0,0,N,N, , , 
113,1356770,Larry Decker,32,1,20000208984.0,310679815,65052,Larry Decker,17047 Higginsport Rd,Bernard,IA,52032,Dubuque,1, ,Active,Open Feedlot,No,0.0,0,Prairie Creek,87,1,E,27,42.30988,-90.82083,679599,4686482,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,1,31,16,70600060701.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=65052,1719,0,0,0,0,0,0,0,N,N, , , 
119,1356776,Ibp,31,1,20000208990.0,310694647,59924,Ibp,24620 Highway 2,Bloomfield,IA,52537,Davis,6, ,Inactive,Confinement,Yes,0.0,0,Wyacondah,68,14,W,9,40.70428,-92.47591,544274,4506062,1140,PUBLIC LAND SURVEY-SECTION, , ,bbunke,1218153600000.0, ,2,94,47,71100010801.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=59924,1725,0,0,0,0,0,0,0,N,N, , , 
150,1356808,Edwin Ropp Farm,32,1,20000209024.0,310696563,64925,Edwin Ropp Farm,5543 Sharon Center Rd SW,Kalona,IA,52247,Johnson,6, ,Inactive,Open Feedlot,No,0.0,0,Sharon,78,7,W,29,41.52905,-91.68662,609570,4598323,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,2,89,45,70802090206.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64925,1757,0,0,0,0,0,0,0,N,N, , , 
152,1356810,Kenny Norris,32,1,20000209026.0,310696645,64528,Kenny Norris,3149 Kentucky Ave,Bedford,IA,50833,Taylor,4, ,Active,Open Feedlot,No,0.0,0,Ross,67,34,W,21,40.59688,-94.74877,352030,4495478,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,5,96,48,102400130104.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64528,1759,0,0,0,0,0,0,0,N,N, , , 
200,1356858,Conley Nelson,7,1,20000209079.0,310697899,60623,Conley Nelson,2185 Washington Ave,Goldfield,IA,50542,Humboldt,2, ,Inactive,Confinement,No,0.0,0,Lake,92,27,W,34,42.73339,-94.0127,417100,4731707,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,4,8,4,71000050501.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60623,1807,0,0,0,0,0,0,0,Y,N, , , 
204,1356863,Pleasant 27 Site,31,1,20000209084.0,310698129,64835,Pleasant 27 Site, ,Eldora,IA,50627,Hardin,2, ,Inactive,Confinement,No,0.0,0,Pleasant,87,20,W,27,42.31916,-93.16927,486052,4685227,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION, , ,bbunke,1218153600000.0, ,4,44,22,70802070604.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64835,1812,0,0,0,0,0,0,0,N,N,Y,N,N
248,1356907,Mike Hill,32,1,20000209135.0,310683482,62606,Mike Hill,3976 Highway 141,Manning,IA,51455,Crawford,4, ,Active,Open Feedlot,No,0.0,0, ,0,0, ,0,41.90684,-95.09776,326011,4641561,100,ADDRESS MATCHING-DIGITIZED, , ,ggeorg,1218672000000.0, ,5,51,26,102400020102.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=62606,1856,0,0,0,0,0,0,0,N,N, , , 
251,1356910,Vance Overton,31,1,20000209138.0,310683602,59987,Vance Overton,1254 85th Avenue,Indianola,IA,50125,Warren,5, ,Inactive,Confinement,Yes,0.0,0,Lincoln,76,24,W,32,41.34657,-93.64521,446022,4577432,100,ADDRESS MATCHING-DIGITIZED,PLANT ENTRANCE (GENERAL), ,bryan.bu,1521538441000.0, ,3,26,13,71000080701.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=59987,1859,0,0,0,0,0,0,0,N,N, , , 
262,1356921,Malibu Farms,31,1,20000209150.0,310684043,60003,Malibu Farms,2158 Malibu Ln,Logan,IA,51546,Harrison,4, ,Inactive,Confinement,Yes,0.0,0,Magnolia,80,43,W,33,41.69522,-95.85719,262237,4619883,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,cwolter,1263513600000.0,moved to building center,5,56,28,102300070403.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60003,1870,0,0,0,0,0,0,0,N,N, , , 
311,1356972,Joe Frischmeyer Ent.,7,1,20000209205.0,310682161,59931,Joe Frischmeyer Ent.,17571 Sycamore Ave,Glidden,IA,51443,Carroll,4, ,Inactive,Confinement,Yes,0.0,0,Grant,84,34,W,12,42.0997,-94.74599,355625,4662321,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,5,51,26,71000070202.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=59931,1920,0,0,0,0,0,0,0,N,N,Y,N,N
313,1356974,Rich Vande Voort,31,1,20000209207.0,310701078,63533,Rich Vande Voort,1395 220th St,Leighton,IA,50143,Mahaska,5, ,Inactive,Confinement,No,0.0,0,Black Oak,76,17,W,34,41.33582,-92.79473,517175,4576058,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL), ,bryan.bu,1649691156000.0, ,2,79,40,71000090401.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=63533,1922,0,0,0,0,0,0,0,N,N, , , 
325,1356986,Marvin Van Wyk,32,1,20000209219.0,310701945,61959,Marvin Van Wyk,2780 Osburn Ave,Oskaloosa,IA,52577,Mahaska,5, ,Active,Open Feedlot,No,0.0,0,Spring Creek,75,15,W,33,41.25109,-92.60232,533318,4566707,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,3,75,38,71000090402.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=61959,1934,0,0,0,0,0,0,0,N,N, , , 
333,1356994,Karen Wright,31,1,20000209227.0,310702282,63762,Karen Wright,1979 205th Pl,Minburn,IA,50167,Dallas,5, ,Active,Confinement,No,0.0,0,Washington,80,28,W,15,41.73939,-94.09069,409303,4621416,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,cwolter,1262736000000.0,moved to building center,4,47,24,71000061504.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=63762,1942,0,0,0,0,0,0,0,N,N, , , 
341,1357001,Contented Ag,7,1,20000209237.0,310684347,66863,Contented Ag,Unity Avenue,Decorah,IA,52101,Winneshiek,1, ,Inactive,Confinement,No,0.0,0,Hesper,100,8,W,23,43.47093,-91.76278,600070,4813857,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,zachery.,1494859725000.0,moved to middle of building,1,55,28,70600020503.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=66863,1950,0,0,0,0,0,0,0,N,N, , , 
346,1357006,Dietrick Enterprise,31,1,20000209242.0,310684454,59179,Dietrick Enterprise,415 W Dunkerton Rd,Cedar Falls,IA,50613,Black Hawk,1, ,Active,Confinement,No,0.0,0,Washington,90,14,W,25,42.57431,-92.44473,545570,4713694,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,1,18,9,70802050703.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=59179,1955,0,0,0,0,0,0,0,N,N,Y,N,N
362,1357023,Mark Groenendyk,31,1,20000209259.0,310685382,60091,Mark Groenendyk,1435 260th St,Oskaloosa,IA,52577,Mahaska,5, ,Inactive,Confinement,Yes,0.0,0,Scott,75,17,W,23,41.27841,-92.78756,517791,4569686,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,3,72,36,71000090505.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60091,1972,0,0,0,0,0,0,0,N,N, , , 
363,1357024,Mark Hansen Farms,31,1,20000209260.0,310702599,62889,Mark Hansen Farms,4570 Kiwi Ave,Alton,IA,51003,Sioux,3, ,Inactive,Confinement,No,0.0,0,East Orange,94,43,W,5,42.98774,-95.95601,259005,4763694,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION, , ,bbunke,1218153600000.0, ,5,5,3,102300020301.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=62889,1973,0,0,0,0,0,0,0,N,N,Y,N,N
377,1357038,West Rio Land & Cattle Ltd,31,1,20000209275.0,310703245,63665,West Rio Land & Cattle Ltd, ,Doon,IA,51235,Lyon,3, ,Inactive,Confinement,No,0.0,0,Richland,98,47,W,25,43.28139,-96.35064,228135,4797516,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION, , ,bbunke,1218153600000.0, ,5,4,2,101702041104.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=63665,1987,0,0,0,0,0,0,0,N,N, , , 
382,1357043,Clint and Cynthia O'dea,31,1,20000209280.0,310703423,63118,Clint And Cynthia O'dea,19626 93rd Ave,Indianola,IA,50125,Warren,5, ,Inactive,Confinement,No,0.0,0,Squaw,74,24,W,4,41.23937,-93.63122,447106,4565522,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL), ,bryan.bu,1518007012000.0, ,3,25,13,71000080804.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=63118,1992,0,0,0,0,0,0,0,N,N, , , 
383,1357044,Bruce Johnson,7,1,20000209281.0,310703507,64468,Bruce Johnson,1096 Highway 9,Osage,IA,50461,Mitchell,2, ,Inactive,Confinement,No,0.0,0,Rock,98,18,W,30,43.28377,-93.00737,499402,4792327,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,4,14,7,70802010801.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64468,1993,0,0,0,0,0,0,0,N,N,Y,N,N
388,1357049,Dance Dairies L.l.c.,32,1,20000209286.0,310703607,60652,Dance Dairies L.l.c.,15140 Borman Street,Scranton,IA,51462,Greene,4, ,Active,Open Feedlot,No,0.0,0,Willow,82,32,W,26,41.88493,-94.54192,372070,4638150,570,PUBLIC LAND SURVEY-QUARTER SECTION, , ,bbunke,1218153600000.0, ,4,50,25,71000070103.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60652,1998,0,0,0,0,0,0,0,Y,N,Y,N,N
397,1510373,Gingerich Farm,31,1,20000209082.0,310698076,60035,Gingerich Farm,1580 480th St SW,Kalona,IA,52247,Johnson,6, ,Active,Confinement,Yes,0.0,0,Washington,78,8,W,9,41.57767,-91.77309,602280,4603614,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL), ,jeffrey.,1537971195000.0, ,2,77,39,70802090603.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60035,1810,0,0,0,0,0,0,0,N,N, , , 
398,1510417,Tom Dittmer Gilt Barn,31,1,20000207414.0,310662558,64340,Tom Dittmer Gilt Barn,Allens Grove Road,Eldridge,IA,52748,Scott,6, ,Inactive,Confinement,No,0.0,0,Sheridan,79,3,E,7,41.65728,-90.66911,694077,4614351,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION,PLANT ENTRANCE (GENERAL), ,jeff.pri,1476801290000.0, ,2,92,46,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64340,249,0,0,0,0,0,0,0,N,N, , , 
428,1353674,Tim Vogl Truck Wash,7,1,20000175194.0,310634052,69078,Tim Vogl Truck Wash,19501 EAGLE AVE,Arcadia,IA,42814,Carroll,4, ,Active,Livestock Truck Wash/Open Feedlot,No,0.0,0,Arcadia,84,36,W,22,42.07113,-95.01447,333349,4659637,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL),POINT IN POLYGON (COUNTY),steve.wi,1319188539000.0,Typed Lat/long;,04,51,26,71000070301.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=69078,28,0,0,0,0,0,0,0,N,Y, , ,Y
430,1353750,Iowa Select Farms L.l.p. Truck Wash,7,1,20000175469.0,310635186,65062,Iowa Select Farms L.l.p. Truck Wash,1294 HARDIN ROAD,Iowa Falls,IA,50126,Franklin,2, ,Active,Livestock Truck Wash,Yes,0.0,0,Lee,90,21,W,36,42.55887,-93.2623,478468,4711863,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL),POINT IN POLYGON (COUNTY),steve.wi,1300977221000.0, ,04,12,6,70802070901.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=65062,30,0,0,0,0,0,0,0,N,Y, , ,Y
434,1353884,Larry Jirak Feedlot,7,1,20000175989.0,310637148,61296,Larry Jirak Feedlot,3009 150TH ST,Lawler,IA,42645,Chickasaw,1, ,Inactive,Open Feedlot,No,0.0,0,Utica,96,11,W,9,43.14107,-92.15934,568364,4776824,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL),POINT IN POLYGON (COUNTY),SGARRETS,1168387200000.0,"ADDRESS MATCH, MAPQUEST MAPS, LEGAL",04,15,8,70600040202.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=61296,34,0,0,0,0,0,0,0,N,Y, , , 
436,1353894,Bruce Feedlot,7,1,20000176039.0,310637326,66315,Bruce Feedlot,37484 Us Highway 34,Hastings,IA,51540,Mills,4, ,Active,Open Feedlot,No,0.0,0,Indian Creek,72,40,W,17,41.03103,-95.47076,292294,4545143,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL),POINT IN POLYGON (COUNTY),zsquires,1168387200000.0,"roads.shp, cir.",04,97,49,102400020402.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=66315,36,0,0,0,0,0,0,0,N,Y, , , 
453,1354273,"Cornerstone Farms, Inc (formerly Westview of Monroe, Inc)",7,1,20000177487.0,310643131,60068,"Cornerstone Farms, Inc (formerly Westview Of Monroe, Inc)",7260 HIGHWAY F70 WEST,Monroe,IA,50170,Jasper,5, ,Inactive,Open Feedlot,Yes,0.0,0,Fairview,78,20,W,33,41.52157,-93.16702,486065,4596673,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,3,71,36,71000081506.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60068,53,0,0,0,0,0,0,0,Y,Y, , ,Y
465,1354584,Boerdery Inc.,7,1,20000178661.0,310647915,61080,Boerdery Inc.,4280 JACKSON AVE,Orange City,IA,0,Sioux,3, ,Inactive,Open Feedlot,No,0.0,0,Holland,95,44,W,21,43.02967,-96.05618,251007,4768643,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL),POINT IN POLYGON (COUNTY),ckahle,1168300800000.0,"legal, tiger, cir",04,4,2,102300020403.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=61080,65,0,0,0,0,0,0,0,Y,Y,Y,N,N
479,1354902,Johnson Farms,7,1,20000179974.0,310653062,64003,Johnson Farms,995 Teeple Creek Rd,Waukon,IA,52172,Allamakee,1, ,Inactive,Open Feedlot,No,0.0,0,Ludlow,97,6,W,24,43.21132,-91.50648,621317,4785365,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL), ,richard.,1321354952000.0, ,01,16,8,70600010902.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64003,79,0,0,0,0,0,0,0,Y,Y,N,Y,N
512,1355164,Alex Dorale Feedlot,7,1,20000207226.0,310627791,56469,Alex Dorale Feedlot,1871 170th St,Charter Oak,IA,51439,Crawford,4, ,Inactive,Open Feedlot,No,0.0,0,Hanover,84,40,W,18,42.08383,-95.53838,290047,4662202,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,5,55,28,102300010504.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=56469,112,0,0,0,0,0,0,0,N,N, , , 
563,1355213,Jim Berry,31,1,20000207326.0,310661055,64163,Jim Berry,65979 560TH ST,Lewis,IA,0,Cass,4, ,Active,Confinement,No,0.0,0,Cass,75,0, ,8,41.30973,-95.12555,322072,4575321,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,zachery.,1481556226000.0,moved to middle of building,3,21,11,102400030406.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64163,164,0,0,0,0,0,0,0,N,N, , , 
599,1355249,J.r. Pork LLC,31,1,20000207364.0,310661622,62607,J.r. Pork Llc,1226 P Ave,Traer,IA,50675,Tama,5, ,Active,Confinement,No,0.0,0,Buckingham,86,14,W,16,42.26478,-92.47704,543130,4679308,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,3,40,20,70802050806.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=62607,200,0,0,0,0,0,0,0,N,N,Y,N,N
649,1355299,Van Regenmorter Loren,7,1,20000207415.0,310662594,56295,Van Regenmorter Loren,3833 Eagle Ave,Sioux Center,IA,0,Sioux,3, ,Inactive,Open Feedlot,No,0.0,0,Plato,96,46,W,31,43.09262,-96.31456,230231,4776434,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0,"legal, tiger, cir, MMP.shp",04,4,2,101702032402.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=56295,251,0,0,0,0,0,0,0,N,Y, , , 
673,1355323,John Kopriva,26,1,20000207442.0,310663902,63034,John Kopriva,1957 Pp Ave,Traer,IA,50675,Tama,5, ,Active,Confinement/Open Feedlot,No,0.0,0,Perry,85,14,W,14,42.1577,-92.465,544198,4667424,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,3,40,20,70802080502.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=63034,275,0,0,0,0,0,0,0,N,N, , , 
677,1355327,Riese Pork,31,1,20000207446.0,310664007,61700,Riese Pork,71629 180th St,Zearing,IA,50278,Story,5, ,Inactive,Confinement,No,0.0,0,Sherman,0,0, ,10,42.0942,-93.28779,476201,4660275,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION, , ,bbunke,1218153600000.0, ,4,10,5,70802070903.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=61700,279,0,0,0,0,0,0,0,N,N,Y,N,N
706,1355355,Allen Kool,31,1,20000207474.0,310664347,60093,Allen Kool,2321 Carbon Trl,Leighton,IA,50143,Mahaska,5, ,Inactive,Confinement,No,0.0,0,Scott,75,17,W,9,41.31765,-92.83092,514151,4574033,100,ADDRESS MATCHING-DIGITIZED,PLANT ENTRANCE (GENERAL), ,bryan.bu,1501592711000.0, ,2,79,40,71000090505.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60093,308,0,0,0,0,0,0,0,N,N, , , 
743,1355392,Sge - Double D Finisher,31,1,20000207514.0,310661162,65460,Sge - Double D Finisher,Poplar Avenue,Corning,IA,50841,Adams,4, ,Inactive,Confinement,No,0.0,0,Mercer,71,33,W,10,40.95931,-94.63095,362748,4535520,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION, , ,bbunke,1218153600000.0, ,5,96,48,102400130202.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=65460,345,0,0,0,0,0,0,0,Y,N,N,Y,N
751,1355400,Wagner Brothers Swine,26,1,20000207522.0,310661631,62711,Wagner Brothers Swine,6290 Eagle Road,Castalia,IA,52133,Fayette,1, ,Inactive,Confinement/Open Feedlot,No,0.0,0,Clermont,95,7,W,19,43.03064,-91.70901,605175,4765026,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,1,18,9,70600040705.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=62711,353,0,0,0,0,0,0,0,N,N,Y,N,N
757,1355406,G & W Grain & Livestock Inc.,31,1,20000207528.0,310661886,58636,G & W Grain & Livestock Inc.,3285 280th St,Masonville,IA,50654,Buchanan,1, ,Inactive,Confinement,No,0.0,0,Middlefield,88,7,W,35,42.38792,-91.63186,612617,4693755,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,1,23,12,70801020904.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=58636,359,0,0,0,0,0,0,0,N,N, , , 
778,1355427,County Line Feeder,31,1,20000207551.0,310665955,60628,County Line Feeder,PO Box 156,Richland,IA,52585,Jefferson,6, ,Inactive,Confinement,No,0.0,0,Des Moines,71,11,W,8,40.96167,-92.1594,570737,4534842,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION,PLANT ENTRANCE (GENERAL), ,jeff.pri,1592835206000.0, ,2,82,41,70801070701.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60628,380,0,0,0,0,0,0,0,Y,N,Y,N,N
827,1356280,Randall Dickey Farms,32,1,20000208460.0,310671995,64769,Randall Dickey Farms,144 Broadway St,Charlotte,IA,52731,Clinton,6, ,Active,Open Feedlot,No,0.0,0,Waterford,83,4,E,26,41.96589,-90.46714,709885,4649093,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL), ,richard.,1325578030000.0, ,1,25,13,70600060904.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64769,1230,0,0,0,0,0,0,0,N,N, , , 
841,1356294,Marlin Miller Facility,32,1,20000208474.0,310672667,61857,Marlin Miller Facility,5090 HIGHWAY 1 SW,Kalona,IA,0,Johnson,6, ,Inactive,Open Feedlot,No,0.0,0,Sharon,78,7,W,18,41.56232,-91.71204,607395,4601984,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,2,89,45,70802090206.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=61857,1244,0,0,0,0,0,0,0,N,N, , , 
846,1356299,Oak Grove Farms,31,1,20000208479.0,310685024,61072,Oak Grove Farms, , ,XX,0,Taylor,4, ,Inactive,Confinement,No,0.0,0,Marshall,69,33,W,15,40.77389,-94.63821,361751,4514948,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION, , ,bbunke,1218153600000.0, ,5,96,48,102400130103.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=61072,1249,0,0,0,0,0,0,0,Y,N,Y,N,N
850,1356303,Iowa Select Farms - Davis #1 Gilt-o'neall Sow,31,1,20000208483.0,310685122,60886,Iowa Select Farms - Davis #1 Gilt-o'neall Sow,NOT AVAILABLE,Murray,IA,50174,Clarke,5, ,Inactive,Confinement,No,0.0,0,Doyle,71,27,W,29,40.92232,-93.99072,416581,4530606,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION,PLANT ENTRANCE (GENERAL), ,bryan.bu,1518097083000.0, ,2,27,14,102801020303.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60886,1253,0,0,0,0,0,0,0,Y,N,Y,N,N
